Year,Inflation
1960,-1.54467680609201
1961,1.1344436397999
1962,1.50357995251549
1963,2.27290539996214
1964,3.19564717604592
1965,0.222783306254021
1966,-0.155601659973846
1967,2.18923933203517
1968,5.86056644898579
1969,7.45695273372576
1970,5.86695607765968
1971,2.66538020859991
1972,6.34948605013613
1973,9.62664310171122
1974,12.3028867952472
1975,6.62599255320979
1976,1.3295186805823
1977,1.22487958802845
1978,12.141597276466
1979,10.731921430873
1980,26.1454101014465
1981,17.9689954960101
1982,10.8257491675687
1983,13.9643880065001
1984,16.6382537479217
1985,1.48118012235429
1986,7.97636193570627
1987,7.71716560559269
1988,13.9915489002075
1989,11.5675360890558
1990,21.495252052759
1991,12.1856307214389
1992,11.3834370512206
1993,11.7467370174946
1994,8.44871248698348
1995,7.67484873449805
1996,15.9358310447214
1997,9.57369626405162
1998,9.36424300683229
1999,4.69170563048438
2000,6.17627591012045
2001,14.15845579912
2002,9.55103167007251
2003,6.31463787051174
2004,7.57592582995856
2005,11.6396860971118
2006,10.0201836057035
2007,15.8421114924843
2008,22.5644955300126
2009,3.46496322106074
2010,6.2176488930462
2011,6.7167684358854
2012,7.54291373239437
2013,6.90845034828452
2014,3.1790022823606
2015,3.76836783062096
2016,3.9588884659307
2017,7.70413767850602
2018,2.135037737132
2019,3.52839358231811
2020,6.15394508391738
2021,7.01478071238195
2022,49.7211021114327
2023,16.5411742279832
2024,-0.42936004906973
